name,price,link,total cost:
powder feel motor,$14.99,https://www.amazon.com/Greartisan-Electric-Reduction-Centric-Diameter/dp/B071XCWM2J?th=1,92.01
powder vibration motor,$6.99,https://www.amazon.com/dp/B07Q71F4L9?psc=1&ref=ppx_yo2ov_dt_b_product_details,
screws for plastic,$12.98,https://www.mcmaster.com/99461A968/,
screws for gear motor,$6.77,https://www.mcmaster.com/92095A183/,
L928n motor driver,$6.93,https://www.amazon.com/VKLSVAN-Stepper-Driver-Controller-Arduino/dp/B0CLYBPGP9/ref=sr_1_4?crid=1CTS10Y9XKHUF&dib=eyJ2IjoiMSJ9.AxxCMFbuXsVdXJVpXLaHcQn1-V3GebyqXZ4GjDfn29RstXMQpX6NYVaXdTvRJoofscwJBBkb7ApP95BjfywvrP0k3a0loMvUIS34AgR5PyKEm2l7AV8m49GLCWfxdVMvEbFNNehSbodlvvKSzd_r84vlhYeyLUPgBSKQFsvMOb-7UilLeO1dCycn5U9Ihqk-iowO3mZMjugiGqzoz68STQW8IURWQfRkpGcPRKVZmr8._S95MVKXziqJRVBYr4eiuXRhhBTxs-PaTMsGKZcfB58&dib_tag=se&keywords=l298n+motor+driver&qid=1705428213&s=industrial&sprefix=l298n+motor+driver%2Cindustrial%2C109&sr=1-4,
aluminum wool,$4.00,https://www.mcmaster.com/7364T77/,
printer nozzles,$6.98,https://www.amazon.com/Temperature-Resistance-Conductivity-Creality-LAIHIFA/dp/B0BNBHQJ9Z/ref=sr_1_6?crid=9ZM8407GMOBK&dib=eyJ2IjoiMSJ9.jnb_3ZbyR-Ux2maK5ziVPMXAzy96vgGBzr6n-rN5lj7rPosExRnz3WZyfDfg7cu78uLzeBNOlnS33unOZZNTC59suUU-G0a_lxj3rMPefblrmys5i3gx9Zedxsw0l_0rYtHdWTha1XtFBoXMNYs5aJFm13iZAn5eHviFS6dQNQBS05pn_6TJSOMn0mSAbUiD-TnvDS3a-9RpyjPZzPMZ_5JV7B_vFCV4pAaso_-fRQQ.o-llEJeuRJZFH9W91dKv0bQU7R2vSb5p_6YdrR-VbWQ&dib_tag=se&keywords=3d+printer+nozzles&qid=1705428410&s=industrial&sprefix=3d+printer+noxxle%2Cindustrial%2C131&sr=1-6,
ceramic tube for ignighter,$11.41,https://www.mcmaster.com/8746K556/,
14g wire for igniter,$10.97,https://www.amazon.com/Feet-Meter-Residential-Commerical-Industrial/dp/B07JCKXLV6/ref=sr_1_5?crid=3QO0H53R965HU&dib=eyJ2IjoiMSJ9.zdhUrNkWRmfks7t1l_kYD4fYybVI4uOPKizodb_uKViRH1dNH09e0AxgQK6RilIhXqnR2lTptufmuYmpZWPBt-QfkhCaxIudk45KRHKWzqjEqMHwfEpMqWxfIZIQFmQZwyr6grtQYFX4wESK5V-uBYX8zyMC7guVOf0hAZelUw6yNbeK6M4iZ17ccC01Wd5aCTERQHyxtq3G_htOyzVxjNlVcierqH1ByKWu6iOrgCo.lBSN6yb4LY-rVE70PfRtsgBf72Vxv4xXzg4UItL6siA&dib_tag=se&keywords=14%2Bgauge%2Bsolid%2Bwire&qid=1705428591&s=industrial&sprefix=14%2Bgauge%2Bsolidwire%2Cindustrial%2C121&sr=1-5&th=1,
overkill microcontroller,$9.99,https://www.amazon.com/HiLetgo-ESP-WROOM-32-Development-Microcontroller-Integrated/dp/B0718T232Z/ref=sr_1_3?crid=2N8Z5RXP273H3&dib=eyJ2IjoiMSJ9.Q3nqIa0J33Rj3YmjUzhpqmg3QJq68xk3vOUQYEluiHibVMMmZCCXGAXkMRo-s_j_-ykUMdYf9pLjDVcLfboxqar1jOZDpcy6PBRGNYT2UJYXkvseGZPMY7uYvSd5A01CRWPaA7VlRA6URwqgI_1D40OPHhK2Lw6KFCGGKic0hdt5LiP87xqotE7dyKDPJap5ZLYi3y2DfZZoBtpgD8uvEdVRjx-0leDa2gEVLkqTfXs.ltauxa0RXVenjZzoT_Rm3Qm26JRMmrVt2RKPU3IBU_c&dib_tag=se&keywords=microcontroller&qid=1705429083&s=industrial&sprefix=microco%2Cindustrial%2C288&sr=1-3,
